80003100,800031EF,__start,_start.c
800031F0,8000324B,__copy_rom_section,_start.c
8000324C,8000328F,__init_bss_section,_start.c
80003290,800032AB,__init_registers,_start.c
800032AC,80003323,__init_data,_start.c
80003324,80003343,__init_hardware,__ppc_eabi_init.c
80003344,80003377,__flush_cache,__ppc_eabi_init.c
80003378,800033A7,memset_,
800033A8,8000346B,memset,
8000346C,800034BB,memcpy,
800034BC,800034DF,TRK_memcpy,
800052E0,80005313,FUN_800052e0,
800053E0,80005413,FUN_800053e0,
80005414,80005433,gTRKInterruptVectorTableEnd,
80006CC0,80006CC7,PPCMfmsr,dolphin/PPCArch.c
80006CC8,80006CCF,PPCMtmsr,dolphin/PPCArch.c
80006CD0,80006CD7,PPCMfhid0,dolphin/PPCArch.c
80006CD8,80006CDF,PPCMfl2cr,dolphin/PPCArch.c
80006CE0,80006CE7,PPCMtl2cr,dolphin/PPCArch.c
80006CE8,80006CEF,PPCMtdec,dolphin/PPCArch.c
80006CF0,80006CF7,PPCSync,dolphin/PPCArch.c
80006CF8,80006D0B,PPCHalt,dolphin/PPCArch.c
80006D0C,80006D13,PPCMtmmcr0,dolphin/PPCArch.c
80006D14,80006D1B,PPCMtmmcr1,dolphin/PPCArch.c
80006D1C,80006D23,PPCMfpmc1,dolphin/PPCArch.c
80006D24,80006D2B,PPCMtpmc1,dolphin/PPCArch.c
80006D2C,80006D33,PPCMfpmc2,dolphin/PPCArch.c
80006D34,80006D3B,PPCMtpmc2,dolphin/PPCArch.c
80006D3C,80006D43,PPCMfpmc3,dolphin/PPCArch.c
80006D44,80006D4B,PPCMtpmc3,dolphin/PPCArch.c
80006D4C,80006D53,PPCMfpmc4,dolphin/PPCArch.c
80006D54,80006D5B,PPCMtpmc4,dolphin/PPCArch.c
80006D5C,80006D63,PPCMfhid2,dolphin/PPCArch.c
80006D64,80006D6B,PPCMthid2,dolphin/PPCArch.c
80006D6C,80006D73,PPCMtwpar,dolphin/PPCArch.c
80006D74,80006DA7,OSGetConsoleType,dolphin/OS.c
80006DA8,800070CB,OSInit,dolphin/OS.c
800070CC,8000735B,debugInit,dolphin/OS.c
8000735C,8000737F,OSDBIntegrator,dolphin/OS.c
80007380,80007383,FUN_80007380,dolphin/OS.c
80007384,8000740F,__OSSetExceptionHandler,dolphin/OS.c
80007410,8000747F,__OSGetExceptionHandler,dolphin/OS.c
80007480,800074D7,ecxeptionHandler_80007480,
800074D8,800074E7,FUN_800074d8,
800074E8,80007517,irqHandler_800074e8,
8000751C,8000756F,defaultExceptionHandler,
80007570,800075AB,memInit,
800075AC,800075FF,OSPhysicalToCached,dolphin/OSAddress.c
80007600,80007653,OSPhysicalToUncached,dolphin/OSAddress.c
80007654,800076B3,OSCachedToPhysical,dolphin/OSAddress.c
800076B4,80007713,OSUncachedToPhysical,dolphin/OSAddress.c
80007714,800078A7,OSCheckAlarmQueue,dolphin/OSAlarm.c
800078A8,80007953,SetTimer,dolphin/OSAlarm.c
80007954,800079A7,__OSInitAlarm,dolphin/OSAlarm.c
800079A8,800079B3,OSCreateAlarm,dolphin/OSAlarm.c
800079B4,80007B9F,InsertAlarm,dolphin/OSAlarm.c
80007BA0,80007C87,OSSetAlarm,dolphin/OSAlarm.c
80007C88,80007D33,OSSetAbsAlarm,dolphin/OSAlarm.c
80007D34,80007E27,OSSetPeriodicAlarm,dolphin/OSAlarm.c
80007E28,80007EF7,OSCancelAlarm,dolphin/OSAlarm.c
80007EF8,8000806B,DecrementerExceptionCallback,dolphin/OSAlarm.c
8000806C,800080B7,DecrementerExceptionHandler,dolphin/OSAlarm.c
800080B8,800080D7,DLAddFront,dolphin/OSAlloc.c
800080D8,80008117,DLExtract,dolphin/OSAlloc.c
80008118,8000817B,FUN_80008118,dolphin/OSAlloc.c
8000817C,800083CB,OSAllocFromHeap,dolphin/OSAlloc.c
800083CC,80008477,OSSetCurrentHeap,dolphin/OSAlloc.c
80008478,800085B3,OSInitAlloc,dolphin/OSAlloc.c
800085B4,800087C3,OSCreateHeap,dolphin/OSAlloc.c
800087C4,8000883B,OSGetArenaHi,dolphin/OSArena.c
8000883C,800088B3,OSGetArenaLo,dolphin/OSArena.c
800088B4,800088BB,OSSetArenaHi,dolphin/OSArena.c
800088BC,800088C3,OSSetArenaLo,dolphin/OSArena.c
800088C4,80008B53,__OSInitAudioSystem,dolphin/OSAudioSystem.c
80008B54,80008B67,DCEnable,dolphin/OSCache.c
80008B68,80008B97,DCInvalidateRange,dolphin/OSCache.c
80008B98,80008BCB,DCFlushRange,dolphin/OSCache.c
80008BCC,80008BFF,DCStoreRange,dolphin/OSCache.c
80008C00,80008C2F,DCFlushRangeNoSync,dolphin/OSCache.c
80008C30,80008C5F,DCStoreRangeNoSync,dolphin/OSCache.c
80008C60,80008C97,ICInvalidateRange,dolphin/OSCache.c
80008C98,80008CA7,ICFlashInvalidate,dolphin/OSCache.c
80008CA8,80008CBB,ICEnable,dolphin/OSCache.c
80008CBC,80008D87,__LCEnable,dolphin/OSCache.c
80008D88,80008DBF,LCEnable,dolphin/OSCache.c
80008DC0,80008DE3,LCLoadBlocks,dolphin/OSCache.c
80008DE4,80008E07,LCStoreBlocks,dolphin/OSCache.c
80008E08,80008E1F,LCQueueWait,dolphin/OSCache.c
80008E20,80008E6B,L2Init,dolphin/OSCache.c
80008E6C,80008E97,L2Enable,dolphin/OSCache.c
80008E98,80008EC7,L2Disable,dolphin/OSCache.c
80008EC8,80008F33,L2GlobalInvalidate,dolphin/OSCache.c
80008F34,80009083,DMAErrorHandler,dolphin/OSCache.c
80009084,8000912F,__OSCacheInit,dolphin/OSCache.c
80009130,80009253,__OSLoadFPUContext,dolphin/OSContext.c
80009254,8000937B,__OSSaveFPUContext,dolphin/OSContext.c
8000937C,800093D7,OSSetCurrentContext,dolphin/OSContext.c
800093D8,800093E3,OSGetCurrentContext,dolphin/OSContext.c
800093E4,80009463,OSSaveContext,dolphin/OSContext.c
80009464,8000953B,OSLoadContext,dolphin/OSContext.c
8000953C,80009543,OSGetStackPointer,dolphin/OSContext.c
80009544,80009573,OSClearContext,dolphin/OSContext.c
80009574,8000962F,OSInitContext,dolphin/OSContext.c
80009630,8000989B,OSDumpContext,dolphin/OSContext.c
8000989C,8000991F,OSSwitchFPUContext,dolphin/OSContext.c
80009920,80009967,__OSContextInit,dolphin/OSContext.c
80009968,800099F7,OSReport,dolphin/OSError.c
800099F8,80009AF7,OSPanic,dolphin/OSError.c
80009B0C,80009B8F,OSSetErrorHandler,dolphin/OSError.c
80009B90,80009D23,__OSUnhandledException,dolphin/OSError.c
80009D38,80009E33,SetExiInterruptMask,dolphin/OSExi.c
80009E34,80009F07,CompleteTransfer,dolphin/OSExi.c
80009F08,8000A0EF,EXIImm,dolphin/OSExi.c
8000A0F0,8000A18F,EXIImmEx,dolphin/OSExi.c
8000A190,8000A353,EXIDma,dolphin/OSExi.c
8000A354,8000A43B,EXISync,dolphin/OSExi.c
8000A43C,8000A4FB,EXIClearInterrupts,dolphin/OSExi.c
8000A4FC,8000A5A7,EXISetExiCallback,dolphin/OSExi.c
8000A5A8,8000A5E7,EXIProbeReset,dolphin/OSExi.c
8000A5E8,8000A797,__EXIProbe,dolphin/OSExi.c
8000A798,8000A883,EXIAttach,dolphin/OSExi.c
8000A884,8000A957,EXIDetach,dolphin/OSExi.c
8000A958,8000AB27,EXISelect,dolphin/OSExi.c
8000AB28,8000AC57,EXIDeselect,dolphin/OSExi.c
8000AC58,8000ACFF,EXIIntrruptHandler,dolphin/OSExi.c
8000AD00,8000ADC7,TCIntrruptHandler,dolphin/OSExi.c
8000ADC8,8000AE97,EXTIntrruptHandler,dolphin/OSExi.c
8000AE98,8000AF7F,EXIInit,dolphin/OSExi.c
8000AF80,8000B127,EXILock,dolphin/OSExi.c
8000B128,8000B217,EXIUnlock,dolphin/OSExi.c
8000B218,8000B27B,EXIGetState,dolphin/OSExi.c
8000B27C,8000B2F7,OSGetFontEncode,dolphin/OSFont.c
8000B2F8,8000B30B,OSDisableInterrupts,dolphin/OSInterrupt.c
8000B30C,8000B31F,OSEnableInterrupts,dolphin/OSInterrupt.c
8000B320,8000B343,OSRestoreInterrupts,dolphin/OSInterrupt.c
8000B344,8000B407,__OSSetInterruptHandler,dolphin/OSInterrupt.c
8000B408,8000B4AF,__OSGetInterruptHandler,dolphin/OSInterrupt.c
8000B4B0,8000B54B,__OSInterruptInit,dolphin/OSInterrupt.c
8000B54C,8000B817,SetInterruptMask,dolphin/OSInterrupt.c
8000B818,8000B89F,__OSMaskInterrupts,dolphin/OSInterrupt.c
8000B8A0,8000B927,__OSUnmaskInterrupts,dolphin/OSInterrupt.c
8000B928,8000BD53,__OSDispatchInterrupt,dolphin/OSInterrupt.c
8000BD54,8000BD9F,ExternalInterruptHandler,dolphin/OSInterrupt.c
8000BDA0,8000BDC3,__OSModuleInit,dolphin/OSLink.c
8000BDC4,8000BE67,osMutexFn_8000bdc4,dolphin/OSMutex.c
8000BE68,8000BF3B,osResetFn_8000be68,dolphin/OSReset.c
8000BF3C,8000BF9F,__OSResetSWInterruptHandler,dolphin/OSResetSW.c
8000BFA0,8000C0BF,ReadSram,dolphin/OSRtc.c
8000C0C0,8000C163,WriteSramCallback,dolphin/OSRtc.c
8000C164,8000C26F,WriteSram,dolphin/OSRtc.c
8000C270,8000C2DF,__OSInitSram,dolphin/OSRtc.c
8000C2E0,8000C36B,LockSram,dolphin/OSRtc.c
8000C36C,8000C38F,__OSLockSram,dolphin/OSRtc.c
8000C390,8000C3B3,__OSLockSramEx,dolphin/OSRtc.c
8000C3B4,8000C4BF,UnlockSram,dolphin/OSRtc.c
8000C4C0,8000C4EB,__OSUnlockSram,dolphin/OSRtc.c
8000C4EC,8000C517,__OSUnlockSramEx,dolphin/OSRtc.c
8000C518,8000C537,SIBusy,dolphin/OSSerial.c
8000C538,8000C61B,CompleteTransfer,dolphin/OSSerial.c
8000C61C,8000C6F7,SITransferNext,dolphin/OSSerial.c
8000C6F8,8000C787,SIIntrruptHandler,dolphin/OSSerial.c
8000C788,8000C807,SIInit,dolphin/OSSerial.c
8000C808,8000CA0F,__SITransfer,dolphin/OSSerial.c
8000CA10,8000CA1F,SIGetStatus,dolphin/OSSerial.c
8000CA20,8000CA8F,SISetCommand,dolphin/OSSerial.c
8000CA90,8000CA9F,SITransferCommands,dolphin/OSSerial.c
8000CAA0,8000CB63,SISetXY,dolphin/OSSerial.c
8000CB64,8000CC4B,SIEnablePolling,dolphin/OSSerial.c
8000CC4C,8000CCF3,SIDisablePolling,dolphin/OSSerial.c
8000CCF4,8000CD83,SIGetResponse,dolphin/OSSerial.c
8000CD84,8000CE73,AlarmHandler,dolphin/OSSerial.c
8000CE74,8000CFBB,SITransfer,dolphin/OSSerial.c
8000CFBC,8000CFFB,OSInitStopwatch,dolphin/OSStopwatch.c
8000CFFC,8000D037,OSStartStopwatch,dolphin/OSStopwatch.c
8000D038,8000D103,OSStopStopwatch,dolphin/OSStopwatch.c
8000D104,8000D163,OSCheckStopwatch,dolphin/OSStopwatch.c
8000D164,8000D197,OSResetStopwatch,dolphin/OSStopwatch.c
8000D198,8000D1B3,SystemCallVector,dolphin/OSSync.c
8000D1B8,8000D227,__OSInitSystemCall,dolphin/OSSync.c
8000D228,8000D38F,__OSThreadInit,dolphin/OSThread.c
8000D390,8000D39F,OSInitMutexQueue,dolphin/OSThread.c
8000D3A0,8000D3AF,OSInitThreadQueue,dolphin/OSThread.c
8000D3B0,8000D3BB,OSGetCurrentThread,dolphin/OSThread.c
8000D3BC,8000D3FB,__OSSwitchThread,dolphin/OSThread.c
8000D3FC,8000D44F,__OSIsThreadActive,dolphin/OSThread.c
8000D450,8000D493,OSDisableScheduler,dolphin/OSThread.c
8000D494,8000D4D7,OSEnableScheduler,dolphin/OSThread.c
8000D4D8,8000D5E7,SetRun,dolphin/OSThread.c
8000D5E8,8000D703,UnsetRun,dolphin/OSThread.c
8000D704,8000D74F,__OSGetEffectivePriority,dolphin/OSThread.c
8000D750,8000D913,SetEffectivePriority,dolphin/OSThread.c
8000D914,8000D977,UpdatePriority,dolphin/OSThread.c
8000D978,8000DB63,SelectThread,dolphin/OSThread.c
8000DB64,8000DB93,__OSReschedule,dolphin/OSThread.c
8000DB94,8000DD2F,OSCreateThread,dolphin/OSThread.c
8000DD30,8000DE63,OSExitThread,dolphin/OSThread.c
8000DE64,8000E07B,OSResumeThread,dolphin/OSThread.c
8000E07C,8000E22B,OSSuspendThread,dolphin/OSThread.c
8000E22C,8000E39F,OSSleepThread,dolphin/OSThread.c
8000E3A0,8000E49F,OSWakeupThread,dolphin/OSThread.c
8000E4A0,8000E4B7,OSGetTime,dolphin/OSTime.c
8000E4B8,8000E4BF,OSGetTick,dolphin/OSTime.c
8000E4C0,8000E517,__OSGetSystemTime,dolphin/OSTime.c
8000E518,8000E55F,InitializeUART,dolphin/OSUartExi.c
8000E560,8000E567,ReadUARTN,dolphin/OSUartExi.c
8000E568,8000E5FF,QueueLength,dolphin/OSUartExi.c
8000E600,8000E78B,WriteUARTN,dolphin/OSUartExi.c
8000E78C,8000E7AB,__init_user,
8000E7AC,8000E7F7,__init_cpp,
8000E7F8,8000E807,_ExitProcess,
8000E818,8000E85B,DBInit,dolphin/db.c
8000E85C,8000E897,__DBExceptionDestinationAux,dolphin/db.c
8000E8AC,8000E8BB,__DBExceptionDestination,dolphin/db.c
8000E8BC,8000E8E7,FUN_8000e8bc,dolphin/db.c
8000E8E8,8000E937,DBPrintf,dolphin/db.c
8000E938,8000E9DF,MtxIdentity,dolphin/mtx.c
8000E9E0,8000EAB3,MTXCopy,dolphin/mtx.c
8000EAB4,8000EE07,MTXConcat,dolphin/mtx.c
8000EE08,8000F16B,MTXInverse,dolphin/mtx.c
8000F16C,8000F20B,MTXRotRad,dolphin/mtx.c
8000F20C,8000F3FF,MTXRotTrig,dolphin/mtx.c
8000F400,8000F59F,MTXRotAxisRad,dolphin/mtx.c
8000F5A0,8000F667,MTXTrans,dolphin/mtx.c
8000F668,8000F72F,MTXScale,dolphin/mtx.c
8000F730,8000F8BF,MTXLightPerspective,dolphin/mtx.c
8000F8C0,8000FA5F,MTXLightOrtho,dolphin/mtx.c
8000FA60,8000FBCB,MTXPerspective,dolphin/mtx44.c
8000FBCC,8000FD57,C_MTXOrtho,dolphin/mtx44.c
8000FD58,8000FE13,VECAdd,dolphin/vec.c
8000FE14,8000FF0B,VECSubtract,dolphin/vec.c
8000FF0C,8000FFCF,VECScale,dolphin/vec.c
8000FFD0,800100FF,VECNormalize,dolphin/vec.c
80010100,80010193,VECMag,dolphin/vec.c
80010194,800101BF,vecFn_80010194,dolphin/vec.c
800101C0,8001028B,VECDotProduct,dolphin/vec.c
8001028C,800103CB,VECCrossProduct,dolphin/vec.c
800103CC,80010457,sqrtf,
80010458,800105A3,MTXMultVec,dolphin/mtxvec.c
800105A4,8001074F,MTXMultVecArray,dolphin/mtxvec.c
80010750,800108BF,MTXMultVecSR,dolphin/mtxvec.c
800108C0,8001090B,mtxTranspose43,dolphin/mtxvec.c
8001090C,80010AF7,__DVDInterruptHandler,dolphin/dvdlow.c
80010AF8,80010BEB,DVDLowRead,dolphin/dvdlow.c
80010BEC,80010C6B,DVDLowSeek,dolphin/dvdlow.c
80010C6C,80010C8B,FUN_80010c6c,dolphin/dvdlow.c
80010C8C,80010D2F,DVDLowReadID,dolphin/dvdlow.c
80010D30,80010D53,FUN_80010d30,dolphin/dvdlow.c
80010D54,80010D77,FUN_80010d54,dolphin/dvdlow.c
80010D78,80010DBB,FUN_80010d78,dolphin/dvdlow.c
80010DBC,80010DF3,FUN_80010dbc,dolphin/dvdlow.c
