Tag 'synth_adsr.c' range is 0x8004F394 - 0x8004FA47
Tag 'osalloc.c' range is 0x800080B8 - 0x800087C3
[!] Function 0x800080B8 'FUN_800080b8' has multiple file tags: set(['OSAlloc.c', 'osalloc.c'])
[!] Function 0x800080DB 'FUN_800080d8' has multiple file tags: set(['OSAlloc.c', 'osalloc.c'])
[!] Function 0x8000811B 'FUN_80008118' has multiple file tags: set(['OSAlloc.c', 'osalloc.c'])
[!] Function 0x8000817F 'OSAllocFromHeap' has multiple file tags: set(['OSAlloc.c', 'osalloc.c'])
[!] Function 0x800083CF 'OSSetCurrentHeap' has multiple file tags: set(['OSAlloc.c', 'osalloc.c'])
[!] Function 0x8000847B 'OSInitAlloc' has multiple file tags: set(['OSAlloc.c', 'osalloc.c'])
[!] Function 0x800085B7 'OSCreateHeap' has multiple file tags: set(['OSAlloc.c', 'osalloc.c'])
Tag 'osthread.c' range is 0x800093E4 - 0x8000E49F
[!] Function 0x800093E4 'OSSaveContext' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x80009577 'OSInitContext' has multiple file tags: set(['osthread.c', 'OSThread.c'])
[!] Function 0x80009923 '_osInstallFpuUnavailableHandler' has multiple file tags: set(['osthread.c', 'OS.c'])
[!] Function gap at 0x80009AFB
[!] Function 0x80009B0F 'OSSetErrorHandler' has multiple file tags: set(['osthread.c', 'OSError.c'])
[!] Function gap at 0x80009D27
[!] Function 0x80009E37 'osExiFn_80009e34' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x80009F0B 'osExiFn_80009f08' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000A193 'osExiFn_8000a190' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000A357 'osExiFn_8000a354' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000A43F 'osExiFn_8000a43c' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000A4FF 'osExiFn_8000a4fc' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000A5AB 'FUN_8000a5a8' has multiple file tags: set(['osthread.c', 'OS.c'])
[!] Function 0x8000A5EB '__EXIProbe' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000A79B 'osExiFn_8000a798' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000A887 'EXIDetach' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000A95B 'EXISelect' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000AB2B 'EXIDeselect' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000AC5B 'irqHandler9' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000AD03 'irqHandler10' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000ADCB 'irqHandler11' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000AE9B 'initIrq_8000ae98' has multiple file tags: set(['osthread.c', 'OS.c'])
[!] Function 0x8000AF83 'osExiFn_8000af80' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000B12B 'EXIUnlock' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000B21B 'osExiFn_8000b218' has multiple file tags: set(['osthread.c', 'OSExi.c'])
[!] Function 0x8000B347 '__OSSetInterruptHandler' has multiple file tags: set(['osthread.c', 'OSInterrupt.c'])
[!] Function 0x8000B40B '__OSGetInterruptHandler' has multiple file tags: set(['osthread.c', 'OSInterrupt.c'])
[!] Function 0x8000B4B3 'exceptionInitFn_8000b4b0' has multiple file tags: set(['osthread.c', 'OS.c'])
[!] Function 0x8000BDA3 '__OSModuleInit' has multiple file tags: set(['osthread.c', 'OS.c'])
[!] Function 0x8000BDC7 'osMutexFn_8000bdc4' has multiple file tags: set(['OSMutex.c', 'osthread.c'])
[!] Function 0x8000BE6B 'osResetFn_8000be68' has multiple file tags: set(['osthread.c', 'OSReset.c'])
[!] Function 0x8000BFA3 '_osReadRomBlock' has multiple file tags: set(['osthread.c', 'OS.c'])
[!] Function 0x8000C0C3 'rtcCb_8000c0c0' has multiple file tags: set(['osthread.c', 'OSRtc.c'])
[!] Function 0x8000C167 'WriteSram' has multiple file tags: set(['osthread.c', 'OSRtc.c'])
[!] Function 0x8000C2E3 '_osOpenSram' has multiple file tags: set(['osthread.c', 'OSRtc.c'])
[!] Function 0x8000C3B7 '_osCloseSram' has multiple file tags: set(['osthread.c', 'OSRtc.c'])
[!] Function 0x8000C53B 'FUN_8000c538' has multiple file tags: set(['OSSerial.c', 'osthread.c'])
[!] Function 0x8000C61F 'FUN_8000c61c' has multiple file tags: set(['OSSerial.c', 'osthread.c'])
[!] Function 0x8000C6FB 'serialIrqHandler' has multiple file tags: set(['OSSerial.c', 'osthread.c'])
[!] Function 0x8000C78B 'siInit' has multiple file tags: set(['OSSerial.c', 'osthread.c'])
[!] Function 0x8000C80B 'SITransfer' has multiple file tags: set(['OSSerial.c', 'osthread.c'])
[!] Function 0x8000CA23 'SISetCommand' has multiple file tags: set(['OSSerial.c', 'osthread.c'])
[!] Function 0x8000CA93 'set_SR_to_8000_0000' has multiple file tags: set(['osthread.c', 'Pad.c'])
[!] Function 0x8000CAA3 'SISetXY' has multiple file tags: set(['OSSerial.c', 'osthread.c'])
[!] Function 0x8000CB67 'SIEnablePolling' has multiple file tags: set(['OSSerial.c', 'osthread.c'])
[!] Function 0x8000CC4F 'SIDisablePolling' has multiple file tags: set(['OSSerial.c', 'osthread.c'])
[!] Function 0x8000CCF7 'SIGetResponse' has multiple file tags: set(['OSSerial.c', 'osthread.c'])
[!] Function 0x8000CD87 'exiCb_8000cd84' has multiple file tags: set(['OSSerial.c', 'osthread.c'])
[!] Function gap at 0x8000D1B7
[!] Function 0x8000D1BB 'initExceptions' has multiple file tags: set(['osthread.c', 'OS.c'])
